"","x"
"894","ANPEP"
"895","ANTKMT"
"896","ANTXR1"
"897","ANTXR2"
"898","ANXA1"
"899","ANXA10"
"900","ANXA11"
"901","ANXA13"
"902","ANXA2"
"903","ANXA2R"
"904","ANXA3"
"905","ANXA4"
"906","ANXA5"
"907","ANXA6"
"908","ANXA7"
"909","ANXA8"
"910","ANXA8L1"
"911","ANXA9"
"912","AOAH"
"913","AOC1"
"914","AOC2"
"915","AOC3"
"916","AOPEP"
"917","AOX1"
"918","AP000311.1"
"919","AP000471.1"
"920","AP000721.1"
"921","AP000769.3"
"922","AP000812.4"
"923","AP001042.1"
"924","AP001341.1"
"925","AP001453.3"
"926","AP001458.2"
"927","AP001781.2"
"928","AP002414.1"
"929","AP002512.3"
"930","AP002748.5"
"931","AP003393.1"
"932","AP1AR"
"933","AP1B1"
"934","AP1G1"
"935","AP1G2"
"936","AP1M1"
"937","AP1M2"
"938","AP1S1"
"939","AP1S2"
"940","AP1S3"
"941","AP2A1"
"942","AP2A2"
"943","AP2B1"
"944","AP2M1"
"945","AP2S1"
"946","AP3B1"
"947","AP3B2"
"948","AP3D1"
"949","AP3M1"
"950","AP3M2"
"951","AP3S1"
"952","AP3S2"
"953","AP4B1"
"954","AP4E1"
"955","AP4M1"
"956","AP4S1"
"957","AP5B1"
"958","AP5M1"
"959","AP5S1"
"960","AP5Z1"
"961","APAF1"
"962","APBA1"
"963","APBA2"
"964","APBA3"
"965","APBB1"
"966","APBB1IP"
"967","APBB2"
"968","APBB3"
"969","APC"
"970","APC2"
"971","APCDD1"
"972","APCDD1L"
"973","APCS"
"974","APEH"
"975","APEX1"
"976","APEX2"
"977","APH1A"
"978","APH1B"
"979","API5"
"980","APIP"
"981","APLF"
"982","APLN"
"983","APLNR"
"984","APLP1"
"985","APLP2"
"986","APMAP"
"987","APOA1"
"988","APOA2"
"989","APOA4"
"990","APOA5"
"991","APOB"
"992","APOBEC1"
"993","APOBEC2"
"994","APOBEC3A"
"995","APOBEC3B"
"996","APOBEC3C"
"997","APOBEC3D"
"998","APOBEC3F"
"999","APOBEC3G"
"1000","APOBEC3H"
"1001","APOBEC4"
"1002","APOBR"
"1003","APOC1"
"1004","APOC2"
"1005","APOC3"
"1006","APOC4"
"1007","APOC4-APOC2"
"1008","APOD"
"1009","APOE"
"1010","APOF"
"1011","APOH"
"1012","APOL1"
"1013","APOL2"
"1014","APOL3"
"1015","APOL4"
"1016","APOL5"
"1017","APOL6"
"1018","APOLD1"
"1019","APOM"
"1020","APOO"
"1021","APOOL"
"1022","APP"
"1023","APPBP2"
"1024","APPL1"
"1025","APPL2"
"1026","APRT"
"1027","APTX"
"1028","AQP1"
"1029","AQP10"
"1030","AQP11"
"1031","AQP12A"
"1032","AQP12B"
"1033","AQP2"
"1034","AQP3"
"1035","AQP4"
"1036","AQP5"
"1037","AQP6"
"1038","AQP7"
"1039","AQP8"
"1040","AQP9"
"1041","AQR"
"1042","AR"
"1043","ARAF"
"1044","ARAP1"
"1045","ARAP2"
"1046","ARAP3"
"1047","ARC"
"1048","ARCN1"
"1049","AREG"
"1050","AREL1"
"1051","ARF1"
"1052","ARF3"
"1053","ARF4"
"1054","ARF5"
"1055","ARF6"
"1056","ARFGAP1"
"1057","ARFGAP2"
"1058","ARFGAP3"
"1059","ARFGEF1"
"1060","ARFGEF2"
"1061","ARFGEF3"
"1062","ARFIP1"
"1063","ARFIP2"
"1064","ARFRP1"
"1065","ARG1"
"1066","ARG2"
"1067","ARGFX"
"1068","ARGLU1"
"1069","ARHGAP1"
"1070","ARHGAP10"
"1071","ARHGAP11A"
"1072","ARHGAP11B"
"1073","ARHGAP12"
"1074","ARHGAP15"
"1075","ARHGAP17"
"1076","ARHGAP18"
"1077","ARHGAP19"
"1078","ARHGAP20"
"1079","ARHGAP21"
"1080","ARHGAP22"
"1081","ARHGAP23"
"1082","ARHGAP24"
"1083","ARHGAP25"
"1084","ARHGAP26"
"1085","ARHGAP27"
"1086","ARHGAP28"
"1087","ARHGAP29"
"1088","ARHGAP30"
"1089","ARHGAP31"
"1090","ARHGAP32"
"1091","ARHGAP33"
"1092","ARHGAP35"
"1093","ARHGAP36"
"1094","ARHGAP39"
"1095","ARHGAP4"
"1096","ARHGAP40"
"1097","ARHGAP42"
"1098","ARHGAP44"
"1099","ARHGAP45"
"1100","ARHGAP5"
"1101","ARHGAP6"
"1102","ARHGAP8"
"1103","ARHGAP9"
"1104","ARHGDIA"
"1105","ARHGDIB"
"1106","ARHGDIG"
"1107","ARHGEF1"
"1108","ARHGEF10"
"1109","ARHGEF10L"
"1110","ARHGEF11"
"1111","ARHGEF12"
"1112","ARHGEF15"
"1113","ARHGEF16"
"1114","ARHGEF17"
"1115","ARHGEF18"
"1116","ARHGEF19"
"1117","ARHGEF2"
"1118","ARHGEF25"
"1119","ARHGEF26"
"1120","ARHGEF28"
"1121","ARHGEF3"
"1122","ARHGEF33"
"1123","ARHGEF35"
"1124","ARHGEF37"
"1125","ARHGEF38"
"1126","ARHGEF39"
"1127","ARHGEF4"
"1128","ARHGEF40"
"1129","ARHGEF5"
"1130","ARHGEF6"
"1131","ARHGEF7"
"1132","ARHGEF9"
"1133","ARID1A"
"1134","ARID1B"
"1135","ARID2"
"1136","ARID3A"
"1137","ARID3B"
"1138","ARID3C"
"1139","ARID4A"
"1140","ARID4B"
"1141","ARID5A"
"1142","ARID5B"
"1143","ARIH1"
"1144","ARIH2"
"1145","ARL1"
"1146","ARL10"
"1147","ARL11"
"1148","ARL13A"
"1149","ARL13B"
"1150","ARL14"
"1151","ARL14EP"
"1152","ARL15"
"1153","ARL16"
"1154","ARL2"
"1155","ARL2BP"
"1156","ARL3"
"1157","ARL4A"
"1158","ARL4AP1"
"1159","ARL4C"
"1160","ARL4D"
"1161","ARL5A"
"1162","ARL5B"
"1163","ARL6"
"1164","ARL6IP1"
"1165","ARL6IP4"
"1166","ARL6IP5"
"1167","ARL6IP6"
"1168","ARL8A"
"1169","ARL8B"
"1170","ARL9"
"1171","ARMC1"
"1172","ARMC10"
"1173","ARMC12"
"1174","ARMC2"
"1175","ARMC3"
"1176","ARMC4"
"1177","ARMC5"
"1178","ARMC6"
"1179","ARMC7"
"1180","ARMC8"
"1181","ARMC9"
"1182","ARMCX1"
"1183","ARMCX2"
"1184","ARMCX3"
"1185","ARMCX5"
"1186","ARMCX5-GPRASP2"
"1187","ARMCX6"
"1188","ARMH1"
"1189","ARMH3"
"1190","ARMH4"
"1191","ARMS2"
"1192","ARMT1"
"1193","ARNT"
"1194","ARNT2"
"1195","ARNTL"
"1196","ARNTL2"
"1197","ARPC1B"
"1198","ARPC2"
"1199","ARPC3"
"1200","ARPC4"
"1201","ARPC5"
"1202","ARPC5L"
"1203","ARPIN"
"1204","ARPP19"
"1205","ARPP19P1"
"1206","ARPP19P2"
"1207","ARPP21"
"1208","ARR3"
"1209","ARRB1"
"1210","ARRB2"
"1211","ARRDC1"
"1212","ARRDC2"
"1213","ARRDC3"
"1214","ARRDC4"
"1215","ARRDC5"
"1216","ARSA"
"1217","ARSB"
"1218","ARSD"
"1219","ARSF"
"1220","ARSG"
"1221","ARSH"
"1222","ARSI"
"1223","ARSJ"
"1224","ARSK"
"1225","ARSL"
"1226","ART1"
"1227","ART3"
"1228","ART4"
"1229","ART5"
"1230","ARTN"
"1231","ARV1"
"1232","ARVCF"
"1233","ARX"
"1234","AS3MT"
"1235","ASAH1"
"1236","ASAH2"
"1237","ASAH2B"
"1238","ASAP1"
"1239","ASAP2"
"1240","ASAP3"
"1241","ASB1"
"1242","ASB10"
"1243","ASB11"
"1244","ASB12"
"1245","ASB13"
"1246","ASB14"
"1247","ASB15"
"1248","ASB16"
"1249","ASB17"
"1250","ASB18"
"1251","ASB2"
"1252","ASB3"
"1253","ASB4"
"1254","ASB5"
"1255","ASB6"
"1256","ASB7"
"1257","ASB8"
"1258","ASB9"
"1259","ASCC1"
"1260","ASCC2"
"1261","ASCC3"
"1262","ASCL1"
"1263","ASCL2"
"1264","ASCL3"
"1265","ASCL4"
"1266","ASF1A"
"1267","ASF1B"
"1268","ASGR1"
"1269","ASGR2"
"1270","ASH1L"
"1271","ASH2L"
"1272","ASIC1"
"1273","ASIC2"
"1274","ASIC3"
"1275","ASIC4"
"1276","ASIC5"
"1277","ASIP"
"1278","ASL"
"1279","ASMT"
"1280","ASMTL"
"1281","ASNS"
"1282","ASNSD1"
"1283","ASPA"
"1284","ASPDH"
"1285","ASPG"
"1286","ASPH"
"1287","ASPHD1"
"1288","ASPHD2"
"1289","ASPM"
"1290","ASPN"
"1291","ASPRV1"
"1292","ASPSCR1"
"1293","ASRGL1"
"1294","ASS1"
"1295","ASTE1"
"1296","ASTL"
"1297","ASTN1"
"1298","ASTN2"
"1299","ASXL1"
"1300","ASXL2"
"1301","ASXL3"
"1302","ASZ1"
"1303","ATAD1"
"1304","ATAD2"
"1305","ATAD2B"
"1306","ATAD3A"
"1307","ATAD3B"
"1308","ATAD3C"
"1309","ATAD5"
"1310","ATAT1"
"1311","ATCAY"
"1312","ATE1"
"1313","ATF1"
"1314","ATF2"
"1315","ATF3"
"1316","ATF4"
"1317","ATF5"
"1318","ATF6"
"1319","ATF6B"
"1320","ATF7"
"1321","ATF7-NPFF"
"1322","ATF7IP"
"1323","ATF7IP2"
"1324","ATG10"
"1325","ATG101"
"1326","ATG12"
"1327","ATG13"
